,0
362,3775.0364
363,3779.929
364,3781.8687
365,3784.4014
366,3788.6675
367,3792.4539
368,3791.371
369,3784.989
370,3778.5447
371,3781.0024
372,3795.015
373,3821.812
374,3863.2083
375,3919.4312
376,4005.0657
377,4129.029
378,4297.1772
379,4508.0273
380,4746.815
381,4992.7544
382,5229.176
383,5449.0537
384,5666.542
385,5886.9556
386,6099.622
387,6273.7417
388,6386.454
389,6431.8276
390,6421.7925
391,6380.101
392,6319.81
393,6249.224
394,6179.485
395,6120.3555
396,6075.578
397,6041.991
398,6007.1704
399,5965.262
400,5916.1235
401,5854.83
402,5782.2466
403,5701.2427
404,5622.6553
405,5563.3887
406,5532.259
407,5536.552
408,5570.2456
409,5639.609
410,5729.253
411,5825.1567
412,5919.878
413,6005.567
414,6076.905
415,6134.1646
416,6179.1675
417,6214.67
418,6244.839
419,6259.3286
420,6254.6304
421,6231.909
422,6192.3403
423,6140.551
424,6082.3936
425,6022.0713
426,5962.885
427,5906.306
428,5854.7554
429,5810.2583
430,5778.476
431,5762.444
432,5756.655
433,5754.666
434,5751.0483
435,5742.0312
436,5727.9756
437,5710.975
438,5692.2627
439,5673.3604
440,5654.4785
441,5635.5273
442,5617.35
443,5600.211
444,5588.9287
445,5584.4707
446,5588.9194
447,5599.9604
448,5614.501
449,5629.194
450,5642.418
451,5651.982
452,5655.852
453,5653.08
454,5643.637
455,5629.0127
456,5611.2754
457,5592.874
458,5575.543
459,5563.239
460,5561.563
461,5574.626
462,5601.933
463,5643.345
464,5702.7036
465,5815.035
466,5999.812
467,6259.9062
468,6579.148
469,6938.3604
470,7329.2397
471,7703.2847
472,8025.3213
473,8274.869
474,8466.225
475,8616.587
476,8730.044
477,8812.484
478,8863.192
479,8888.099
480,8874.551
481,8821.627
482,8739.727
483,8637.721
484,8520.8545
485,8388.827
486,8257.826
487,8135.552
488,8020.9014
489,7915.6587
490,7816.0557
491,7723.646
492,7639.0337
493,7564.57
494,7495.2524
495,7431.1514
496,7371.6807
497,7320.6304
498,7279.905
499,7252.8896
500,7239.1113
501,7240.98
502,7248.1416
503,7239.322
504,7211.2124
505,7165.3047
506,7110.2046
507,7055.857
508,7006.01
509,6964.326
510,6935.9224
511,6923.957
512,6929.07
513,6945.7437
514,6976.422
515,7024.357
516,7092.2373
517,7176.861
518,7269.83
519,7365.156
520,7450.579
