,0
778,14414.158
779,14325.461
780,14184.726
781,13957.662
782,13639.967
783,13264.435
784,12847.881
785,12423.322
786,12025.904
787,11672.317
788,11372.694
789,11098.4375
790,10836.58
791,10595.257
792,10388.221
793,10244.029
794,10149.732
795,10079.183
796,10015.688
797,9959.991
798,9911.215
799,9860.983
800,9801.824
801,9733.957
802,9650.374
803,9533.456
804,9383.109
805,9199.623
806,8994.134
807,8785.281
808,8581.049
809,8377.671
810,8190.547
811,8036.764
812,7941.649
813,7928.361
814,7993.9985
815,8105.9175
816,8248.364
817,8397.823
818,8554.272
819,8730.634
820,8926.122
821,9151.214
822,9378.937
823,9600.489
824,9815.612
825,9996.666
826,10104.75
827,10136.007
828,10091.434
829,9980.015
830,9829.865
831,9672.658
832,9516.738
833,9379.03
834,9272.789
835,9212.737
836,9196.13
837,9210.802
838,9214.581
839,9167.402
840,9054.1455
841,8887.705
842,8687.974
843,8491.124
844,8318.636
845,8181.5454
846,8069.587
847,7976.389
848,7900.6562
849,7836.866
850,7788.6724
851,7768.816
852,7788.7925
853,7849.187
854,7935.0513
855,8031.1914
856,8116.1294
857,8168.1367
858,8167.163
859,8101.181
860,7978.1113
861,7805.5493
862,7599.513
863,7381.876
864,7171.5566
865,6987.139
866,6846.77
867,6749.88
868,6689.525
869,6655.4097
870,6644.951
871,6658.0854
872,6687.014
873,6723.527
874,6762.1577
875,6817.2314
876,6894.7407
877,6992.278
878,7108.977
879,7232.6055
880,7347.032
881,7447.308
882,7535.5327
883,7628.9453
884,7739.7153
885,7865.7188
886,8001.614
887,8163.4697
888,8328.271
889,8483.277
890,8606.803
891,8694.806
892,8749.761
893,8767.835
894,8742.102
895,8674.001
896,8585.772
897,8496.195
898,8421.149
899,8362.882
900,8310.6
901,8250.4795
902,8177.2534
903,8085.99
904,7971.2
905,7839.584
906,7706.509
907,7585.5977
908,7482.433
909,7397.277
910,7325.577
911,7267.228
912,7222.813
913,7196.905
914,7188.976
915,7188.8906
916,7181.5444
917,7160.103
918,7123.4087
919,7072.5967
920,7012.1816
921,6944.399
922,6879.2026
923,6822.571
924,6778.692
925,6750.2183
926,6738.991
927,6744.645
928,6758.8823
929,6776.054
930,6792.4653
931,6806.603
932,6816.3237
933,6818.161
934,6796.1543
935,6745.4683
936,6666.267
937,6563.4004
938,6451.681
939,6342.3965
940,6246.057
941,6169.222
942,6118.908
943,6098.1084
944,6104.9663
945,6133.004
946,6162.7896
947,6182.429
948,6187.9487
949,6181.9507
950,6165.9126
951,6142.6963
952,6110.236
953,6072.489
954,6035.4834
955,6003.5474
956,5982.798
957,5974.752
958,5979.4004
959,5995.6533
960,6021.754
961,6058.6616
962,6103.998
963,6153.0664
964,6192.9976
965,6216.341
966,6217.9766
967,6197.9375
968,6160.653
969,6113.6035
970,6070.9155
971,6055.458
972,6081.796
973,6153.5454
974,6260.995
975,6391.0503
976,6529.8555
977,6673.007
978,6836.385
979,7021.2285
980,7212.778
981,7400.801
982,7576.9556
983,7734.897
984,7868.3325
985,7960.0967
986,7996.8047
987,7975.8926
988,7900.663
989,7772.597
990,7601.077
991,7399.1963
992,7181.53
993,6958.7783
994,6747.7397
995,6557.9087
996,6398.9795
997,6277.2007
998,6193.902
999,6143.3105
1000,6120.094
1001,6119.042
1002,6139.9224
1003,6176.368
1004,6221.74
1005,6264.323
1006,6298.2656
1007,6318.1025
1008,6323.4336
1009,6318.3506
1010,6307.8975
1011,6294.2256
1012,6282.076
1013,6279.781
1014,6291.4155
1015,6315.74
1016,6349.713
1017,6392.61
1018,6444.3228
1019,6502.3477
1020,6564.4565
1021,6614.8843
1022,6637.263
1023,6624.3525
1024,6574.43
1025,6495.0137
1026,6397.6846
1027,6294.13
1028,6194.7236
1029,6110.0664
1030,6046.4746
1031,6006.502
1032,5988.4263
1033,5984.295
1034,5988.5127
1035,5997.7197
1036,6011.844
1037,6034.4717
1038,6066.0356
1039,6103.2383
1040,6138.5547
1041,6161.107
1042,6165.731
1043,6156.1177
1044,6137.4233
1045,6113.226
1046,6086.5864
1047,6059.0347
1048,6030.89
1049,6001.4717
1050,5972.264
1051,5945.9375
1052,5923.7744
1053,5906.4243
1054,5894.0815
1055,5885.8237
1056,5879.2915
1057,5867.9053
1058,5848.8535
1059,5822.952
1060,5792.9873
1061,5767.47
1062,5752.301
1063,5748.3794
1064,5752.6
1065,5761.083
1066,5771.209
1067,5781.1807
1068,5790.0127
1069,5797.035
1070,5802.412
1071,5806.1177
1072,5808.1665
1073,5808.8193
1074,5808.4844
1075,5804.7456
1076,5796.239
1077,5782.89
1078,5766.6045
1079,5749.5557
1080,5732.931
1081,5717.623
1082,5704.8887
1083,5696.0293
1084,5692.732
1085,5694.0845
1086,5697.339
1087,5700.6733
1088,5703.1553
1089,5703.832
1090,5702.199
1091,5690.6
1092,5664.7217
1093,5624.8276
1094,5574.5693
1095,5520.3887
1096,5456.236
1097,5373.4927
1098,5272.5283
1099,5157.343
1100,5032.8955
1101,4901.49
1102,4766.811
1103,4631.6914
1104,4500.2046
1105,4377.023
1106,4265.5703
1107,4167.0254
1108,4082.115
1109,4010.3955
1110,3950.0317
1111,3899.235
1112,3856.0308
1113,3818.2756
1114,3784.7068
1115,3754.6938
1116,3727.8818
1117,3704.2156
1118,3683.493
1119,3664.577
1120,3644.4507
